,ID,Program_Code,From_Grade,To_Grade,Group_State,Is_Non_Annual_,Days,Travel_Type,Departure_Date,Return_Date,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Product_Type,SPR_New_Existing,FPP,Total_Pax,SPR_Group_Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP_to_School_enrollment,FPP_to_PAX,Num_of_Non_FPP_PAX,SchoolSizeIndicator,Retained_in_2012_,NPS_2011,NPS_2010,NPS_2009,NPS_2008,>=_3_FPP_Date,>=_10_FPP_Date,>=_20_FPP_Date,>=_35_FPP_Date
0,1,HS,4.0,4.0,CA,0.0,1.0,A,2011-01-14,2011-01-14,2010-08-30,,424.0,25.0,3.0,0.424,2010-03-29,2010-08-12,3.0,4.0,2010-03-26,B,Southern California,4.0,PUBLIC,1.0,K,5.0,927.0,Q,0.17,1.0,CA History,EXISTING,59.0,63.0,424.0,1.0,2010-08-12,2010-08-12,155.0,155.0,Elementary,Elementary,Elementary->Elementary,January,K,Elementary,K->Elementary,H,1.0,0.06364617,0.936507937,4.0,L,1.0,10.0,10.0,10.0,10.0,2010-06-06,2010-06-18,2010-08-17,2010-08-30
1,2,HC,8.0,8.0,AZ,0.0,7.0,A,2011-01-14,2011-01-21,2009-11-15,CP,2350.0,9.0,9.0,0.409,2009-10-20,2010-08-10,11.0,3.0,2009-10-02,C,Other,10.0,PUBLIC,1.0,7,8.0,850.0,A,0.091,0.0,East Coast,EXISTING,22.0,25.0,2350.0,2.0,2009-11-17,2010-08-27,423.0,140.0,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,1.0,0.025882353,0.88,3.0,L,1.0,9.0,10.0,10.0,,2009-12-15,2010-01-20,2010-05-31,
2,3,HD,8.0,8.0,FL,0.0,3.0,A,2011-01-15,2011-01-17,2010-10-15,,1181.0,17.0,6.0,0.708,2010-04-29,2010-08-16,6.0,3.0,2010-01-28,C,Other,10.0,PUBLIC,1.0,6,8.0,955.0,O,0.042,0.0,East Coast,EXISTING,24.0,27.0,1181.0,1.0,2010-09-13,2010-09-13,124.0,124.0,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,1.0,0.02513089,0.888888889,3.0,L,1.0,,10.0,10.0,,2010-06-09,2010-06-09,2010-10-26,
3,4,HN,9.0,12.0,VA,1.0,3.0,B,2011-01-15,2011-01-17,2011-01-07,,376.0,0.0,0.0,0.0,,,1.0,0.0,2010-10-19,,Other,7.0,CHD,0.0,,,,,0.0,0.0,East Coast,EXISTING,18.0,18.0,376.0,0.0,,,,,High,High,High->High,January,Undefined,Undefined,Undefined->Undefined,H,0.0,,1.0,0.0,,0.0,10.0,,10.0,,2011-01-06,2011-01-06,,
4,5,HD,6.0,8.0,FL,0.0,6.0,T,2011-01-16,2011-01-21,2010-09-30,,865.0,40.0,8.0,0.494,2010-03-29,2010-08-12,9.0,8.0,2010-03-23,D,Other,10.0,PUBLIC,1.0,6,8.0,720.0,C,0.383,0.0,East Coast,EXISTING,81.0,89.0,865.0,1.0,2010-08-24,2010-08-24,145.0,145.0,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,0.0,0.1125,0.91011236,8.0,M-L,0.0,10.0,,10.0,,2010-05-13,2010-05-24,2010-05-27,2010-06-01
5,6,HC,10.0,12.0,LA,0.0,4.0,A,2011-01-17,2011-01-20,2010-09-30,,2025.0,9.0,4.0,0.9,2010-03-16,2010-10-06,3.0,1.0,2010-03-16,C,Other,8.0,PUBLIC,1.0,10,12.0,939.0,I,0.1,0.0,East Coast,NEW,10.0,11.0,2025.0,1.0,2010-10-18,2010-10-18,91.0,91.0,High,High,High->High,January,High,High,High->High,H,0.0,0.010649627,0.909090909,1.0,L,1.0,10.0,,,,2010-08-19,2010-12-15,,
6,7,SG,11.0,12.0,MA,1.0,6.0,A,2011-01-18,2011-01-23,2010-10-15,,1977.0,16.0,4.0,0.64,2010-02-25,2010-09-01,5.0,2.0,2010-02-25,,Other,8.0,Catholic,1.0,9,12.0,225.0,G,0.08,0.0,Science,EXISTING,25.0,27.0,1977.0,1.0,2010-11-16,2010-11-16,63.0,63.0,High,High,High->High,January,High,High,High->High,S,0.0,0.111111111,0.925925926,2.0,S,0.0,,,9.0,,2010-04-06,2010-04-06,2010-04-06,
7,8,FN,9.0,9.0,MX,0.0,8.0,A,2011-01-24,2011-01-31,2010-10-01,,3379.0,10.0,0.0,0.769,2010-06-04,2010-08-23,1.0,1.0,2010-05-25,,Other,7.0,CHD,1.0,,,,,0.0,0.0,East Coast,EXISTING,13.0,14.0,3379.0,1.0,2010-09-08,2010-09-08,138.0,138.0,High,High,High->High,January,Undefined,Undefined,Undefined->Undefined,I,1.0,,0.928571429,1.0,,0.0,10.0,9.0,,,2010-09-20,2010-10-04,,
8,9,CC,8.0,8.0,AZ,0.0,8.0,A,2011-01-29,2011-02-05,2010-06-01,CP,2200.0,30.0,0.0,0.577,2010-02-12,2010-02-12,0.0,4.0,2010-02-11,,Other,5.0,CHD,1.0,6,12.0,500.0,K,0.231,0.0,East Coast,EXISTING,52.0,56.0,2200.0,1.0,2010-09-08,2010-09-08,143.0,143.0,Middle,Middle,Middle->Middle,January,Middle,High,Middle->High,C,1.0,0.104,0.928571429,4.0,S-M,1.0,9.0,10.0,9.0,,2010-02-19,2010-04-12,2010-05-17,2010-07-17
9,10,HD,8.0,8.0,TX,0.0,4.0,A,2011-02-07,2011-02-10,2010-10-25,,1428.0,51.0,1.0,0.773,2010-04-01,2010-08-11,1.0,6.0,2010-03-31,,Houston,5.0,Private non-Christian,1.0,PK,8.0,635.0,K,0.136,0.0,East Coast,EXISTING,66.0,72.0,1428.0,1.0,2010-09-14,2010-09-14,146.0,146.0,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1.0,0.103937008,0.916666667,6.0,M-L,1.0,9.0,,8.0,,2010-04-26,2010-04-30,2010-05-09,2010-05-31
